run_id,task_id,robot_id,start_zone,goal_zone,static_path_length_m,turn_count,junction_crossings_count,nominal_speed_mps,fleet_size,candidate_corridor_count,mean_nearby_robot_count,avg_nearby_robot_speed_mps,max_corridor_queue_length,reservation_count,corridor_occupancy_ratio,active_blockage_count,waiting_time_s,total_stop_time_s,mean_peer_freshness_ms,task_load_count,actual_travel_time_s
run_1789770802,rnd_task_001,robot_1,South,South,0.85,0,0,0.46,4,1,0.03,0.0,3,28,0.073,70,246.12,242.12,500.0,3,494.4
run_1789770802,rnd_task_002,robot_2,North,North,35.25,2,1,0.46,4,1,0.04,0.07,6,46,0.085,90,507.72,503.72,500.0,5,848.6
run_1789770802,rnd_task_003,robot_3,South,North,85.6,4,2,0.46,4,2,0.2,0.04,5,40,0.085,69,424.6,420.6,500.0,4,704.4
run_1789770802,rnd_task_004,robot_4,North,North,30.2,2,1,0.46,4,1,0.12,0.16,7,54,0.09,140,651.6,647.6,500.0,6,952.8
run_1789770802,rnd_task_005,robot_1,North,South,50.67,4,2,0.46,4,2,0.07,0.16,7,36,0.068,92,504.94,500.94,500.0,6,769.6
run_1789770802,rnd_task_006,robot_3,North,South,0.85,0,2,0.46,4,2,0.14,0.12,7,43,0.102,83,371.42,367.42,500.0,6,627.2
run_1789770802,rnd_task_007,robot_2,South,North,0.51,0,2,0.46,4,2,0.06,0.08,9,53,0.088,98,628.0,624.0,500.0,6,908.2
run_1789770802,rnd_task_008,robot_4,North,South,0.49,0,2,0.46,4,2,0.03,0.0,7,46,0.092,49,408.1,404.1,500.0,5,764.8
run_1789770802,rnd_task_009,robot_1,North,Central,64.69,4,2,0.46,4,2,0.06,0.08,7,37,0.088,49,409.0,405.0,500.0,6,614.28
run_1789770802,rnd_task_010,robot_3,Central,North,0.49,0,2,0.46,4,2,0.04,0.17,7,40,0.079,68,294.08,290.08,500.0,6,732.4
run_1789770802,rnd_task_011,robot_4,South,North,73.22,4,2,0.46,4,2,0.0,0.18,8,43,0.087,53,335.2,331.2,500.0,6,755.8
run_1789770802,rnd_task_012,robot_2,Central,North,0.47,0,2,0.46,4,2,0.03,0.17,8,37,0.106,53,344.54,340.54,500.0,5,547.6
run_1789770802,rnd_task_013,robot_1,North,South,43.19,4,2,0.46,4,2,0.03,0.09,7,37,0.081,53,461.18,457.18,500.0,5,665.2
run_1789770802,rnd_task_014,robot_3,North,North,53.01,2,1,0.46,4,1,0.02,0.46,7,31,0.069,46,294.64,290.64,500.0,6,638.42
run_1789770802,rnd_task_015,robot_2,South,North,0.85,0,2,0.46,4,2,0.02,0.28,10,58,0.079,65,727.4,723.4,500.0,8,1140.92
run_1789770802,rnd_task_016,robot_4,North,South,59.88,4,2,0.46,4,2,0.03,0.33,6,36,0.085,64,492.62,488.62,500.0,4,633.82
run_1789770802,rnd_task_017,robot_1,South,North,6.0,0,2,0.46,4,2,0.01,0.0,7,47,0.087,65,372.54,368.54,500.0,5,800.88
run_1789770802,rnd_task_018,robot_3,Central,South,6.0,0,2,0.46,4,2,0.02,0.0,6,31,0.069,42,326.38,322.38,500.0,4,635.8
run_1789770802,rnd_task_019,robot_4,Central,Central,78.22,4,2,0.46,4,1,0.0,0.18,6,35,0.103,20,141.94,137.94,500.0,4,483.6
run_1789770802,rnd_task_021,robot_3,South,Central,22.65,2,0,0.46,4,2,0.04,0.08,9,43,0.109,49,208.98,204.98,500.0,2,585.2
run_1789771871,rnd_task_001,robot_4,North,North,22.26,2,1,0.46,4,1,0.1,0.18,4,29,0.085,54,347.42,343.42,500.0,4,538.1
run_1789771871,rnd_task_002,robot_3,South,North,52.36,4,2,0.46,4,2,0.14,0.04,6,41,0.079,67,410.74,406.74,500.0,6,738.3
run_1789771871,rnd_task_003,robot_1,Central,Central,0.51,0,0,0.46,4,1,0.02,0.0,3,23,0.08,33,251.02,247.02,500.0,3,399.88
run_1789771871,rnd_task_004,robot_2,Central,South,69.97,4,2,0.46,4,2,0.04,0.0,5,34,0.088,48,464.64,460.64,500.0,5,617.0
run_1789771871,rnd_task_005,robot_1,North,Central,81.91,4,2,0.46,4,2,0.09,0.02,8,48,0.064,173,674.18,670.18,500.0,8,1161.0
run_1789771871,rnd_task_006,robot_4,North,North,35.25,2,1,0.46,4,1,0.08,0.21,5,35,0.078,135,322.86,318.86,500.0,5,664.98
run_1789771871,rnd_task_007,robot_2,North,South,6.0,0,2,0.46,4,2,0.04,0.01,6,41,0.068,150,725.82,721.82,500.0,6,938.2
