run_id,task_id,robot_id,start_zone,goal_zone,static_path_length_m,turn_count,junction_crossings_count,nominal_speed_mps,fleet_size,candidate_corridor_count,mean_nearby_robot_count,avg_nearby_robot_speed_mps,max_corridor_queue_length,reservation_count,corridor_occupancy_ratio,active_blockage_count,waiting_time_s,total_stop_time_s,mean_peer_freshness_ms,task_load_count,actual_travel_time_s
run_1789797279,rnd_task_001,robot_1,North,South,61.27,4,2,0.46,4,2,0.02,0.0,5,28,0.092,15,409.46,405.46,500.0,6,480.68
run_1789797279,rnd_task_002,robot_4,North,North,6.0,0,1,0.46,4,1,0.04,0.0,2,12,0.046,14,237.52,233.52,500.0,3,347.16
run_1789797279,rnd_task_003,robot_2,South,Central,97.58,4,2,0.46,4,2,0.02,0.01,4,22,0.073,14,177.84,173.84,500.0,4,411.36
run_1789797279,rnd_task_004,robot_3,North,South,6.01,1,2,0.46,4,2,0.0,0.0,4,22,0.082,14,284.1,280.1,500.0,4,412.66
run_1789797279,rnd_task_005,robot_4,South,South,6.0,0,1,0.46,4,1,0.0,0.18,7,40,0.128,8,242.26,238.26,500.0,8,468.8
run_1789797279,rnd_task_006,robot_2,South,North,64.38,4,2,0.46,4,2,0.0,0.18,4,19,0.104,2,168.6,164.6,500.0,4,270.04
run_1789797279,rnd_task_007,robot_3,Central,North,27.33,2,0,0.46,4,2,0.02,0.0,6,30,0.131,7,188.18,184.18,500.0,5,365.3
run_1789797279,rnd_task_008,robot_1,Central,North,40.86,2,1,0.46,4,2,0.04,0.0,5,24,0.096,7,211.62,207.62,500.0,6,375.12
run_1789797279,rnd_task_009,robot_2,North,South,57.94,4,2,0.46,4,2,0.16,0.04,7,41,0.138,17,302.36,298.36,500.0,7,462.38
run_1789797279,rnd_task_010,robot_3,North,North,26.03,2,1,0.46,4,1,0.03,0.0,5,19,0.09,12,153.2,149.2,500.0,5,289.9
run_1789797279,rnd_task_011,robot_4,North,Central,0.97,0,2,0.46,4,2,0.06,0.02,7,44,0.129,13,383.24,379.24,500.0,8,526.92
run_1789797279,rnd_task_012,robot_1,North,Central,0.51,0,2,0.46,4,2,0.02,0.02,7,42,0.164,13,145.12,141.12,500.0,5,377.76
run_1789797279,rnd_task_013,robot_3,North,North,14.4,2,1,0.46,4,1,0.22,0.05,4,18,0.189,1,43.68,39.68,500.0,4,137.42
run_1789797279,rnd_task_014,robot_2,North,Central,0.49,0,2,0.46,4,2,0.03,0.0,8,43,0.126,8,332.12,328.12,500.0,7,506.22
run_1789797279,rnd_task_015,robot_1,South,Central,0.99,0,2,0.46,4,2,0.01,0.11,8,42,0.12,12,232.96,228.96,500.0,6,514.8
run_1789797279,rnd_task_016,robot_3,North,South,6.05,1,2,0.46,4,2,0.03,0.15,5,25,0.103,7,258.76,254.76,500.0,4,367.4
run_1789797279,rnd_task_017,robot_4,North,Central,40.86,2,1,0.46,4,2,0.0,0.46,7,40,0.164,12,191.52,187.52,500.0,5,377.82
run_1789797279,rnd_task_018,robot_3,South,Central,83.93,4,2,0.46,4,2,0.0,0.18,5,25,0.144,6,122.46,118.46,500.0,5,250.62
run_1789797279,rnd_task_019,robot_2,North,North,11.19,2,0,0.46,4,1,0.08,0.09,6,35,0.211,6,121.7,117.7,500.0,4,236.58
run_1789797279,rnd_task_021,robot_1,Central,North,37.05,2,1,0.46,4,2,0.0,0.18,5,24,0.26,1,60.14,56.14,500.0,2,138.26
run_1789795074,rnd_task_001,robot_1,South,North,0.96,0,2,0.46,4,2,0.07,0.06,5,29,0.14,11,182.56,178.56,500.0,4,315.34
run_1789795074,rnd_task_002,robot_4,Central,North,34.25,2,1,0.46,4,2,0.08,0.01,6,34,0.153,11,217.6,213.6,500.0,5,351.86
run_1789795074,rnd_task_003,robot_2,South,South,4.8,2,0,0.46,4,1,0.04,0.0,4,18,0.119,10,89.22,85.22,500.0,3,200.86
run_1789795074,rnd_task_004,robot_3,South,South,50.15,2,1,0.46,4,1,0.0,0.0,6,29,0.125,10,99.02,95.02,500.0,5,334.98
run_1789795074,rnd_task_005,robot_2,North,North,14.74,2,0,0.46,4,1,0.05,0.0,9,58,0.181,11,320.16,316.16,500.0,8,486.74
run_1789795074,rnd_task_006,robot_1,Central,Central,96.59,4,2,0.46,4,1,0.21,0.01,6,35,0.178,9,162.92,158.92,500.0,5,291.96
run_1789795074,rnd_task_007,robot_4,North,South,62.65,4,2,0.46,4,2,0.15,0.13,8,47,0.239,9,189.22,185.22,500.0,4,292.3
run_1789795074,rnd_task_008,robot_3,South,South,0.49,0,1,0.46,4,1,0.0,0.18,8,47,0.208,10,60.36,56.36,500.0,5,337.16
run_1789795074,rnd_task_009,robot_1,South,North,0.96,0,2,0.46,4,2,0.07,0.08,8,49,0.146,12,232.8,228.8,500.0,8,519.42
run_1789795074,rnd_task_010,robot_4,North,Central,70.73,4,2,0.46,4,2,0.05,0.04,6,33,0.097,11,415.84,411.84,500.0,8,516.92
